symptom_name,body_system,symptom_type,typical_triage_level,high_acuity_modifier,low_acuity_modifier,must_rule_out,severity_descriptor,onset_pattern,frequency_in_level_1,frequency_in_level_2,frequency_in_level_3,frequency_in_level_4,frequency_in_level_5,confidence_score
Cardiac arrest,Cardiovascular,vital sign absence,1,Yes,No,"Cardiac event, arrhythmia",life-threatening,sudden,0.99,0.01,0,0,0,1.0
Respiratory arrest,Respiratory,vital sign absence,1,Yes,No,"Respiratory failure, airway obstruction",critical,sudden,0.99,0.01,0,0,0,1.0
Unresponsiveness (GCS 3-8),Neurological,consciousness,1,Yes,No,"Stroke, TBI, sepsis, intoxication",life-threatening,varied,0.95,0.04,0.01,0,0,0.99
Severe respiratory distress with cyanosis,Respiratory,breathing effort,1,Yes,No,"Anaphylaxis, pneumothorax, PE, severe asthma",critical,sudden,0.92,0.07,0.01,0,0,0.99
SpO2 <88%,Respiratory,oxygenation,1,Yes,No,"Respiratory failure, PE, pneumothorax",critical,sudden,0.90,0.08,0.02,0,0,0.98
Severe hemorrhage (uncontrolled),Cardiovascular,bleeding,1,Yes,No,"Massive GI bleed, trauma, ruptured AAA",life-threatening,sudden,0.95,0.04,0.01,0,0,1.0
Shock (hypotension + altered mental + poor perfusion),Cardiovascular,hemodynamic,1,Yes,No,"Septic shock, cardiogenic shock, hemorrhagic shock",critical,sudden,0.92,0.07,0.01,0,0,0.99
Loss of consciousness,Neurological,consciousness,1,Yes,No,"TBI, stroke, arrhythmia, severe intoxication",life-threatening,sudden,0.88,0.10,0.02,0,0,0.98
Stridor (acute),Respiratory,airway,1,Yes,No,"Epiglottitis, anaphylaxis, foreign body, croup severe",critical,sudden,0.85,0.13,0.02,0,0,0.97
Thunderclap headache,Neurological,headache,1,Yes,No,"Subarachnoid hemorrhage, ICH",life-threatening,sudden,0.90,0.08,0.02,0,0,0.99
Acute severe chest pain + diaphoresis + dyspnea,Cardiovascular,chest pain,2,Yes,No,"ACS, PE, aortic dissection, pericarditis",severe,sudden,0.05,0.85,0.09,0.01,0,0.98
Acute altered mental status,Neurological,consciousness,2,Yes,No,"Sepsis, stroke, hypoglycemia, intoxication, TBI",emergency,sudden,0.02,0.85,0.12,0.01,0,0.97
Sudden focal neurological deficit (weakness/speech/vision),Neurological,focal deficit,2,Yes,No,"Acute ischemic stroke, ICH",emergency,sudden,0.03,0.82,0.14,0.01,0,0.96
Syncope with cardiac risk,Cardiovascular,syncope,2,Yes,No,"Arrhythmia, structural heart disease, PE",emergency,sudden,0.08,0.75,0.15,0.02,0,0.94
Fever + non-blanching petechial rash,Infection,rash,1,Yes,No,"Meningococcal sepsis, meningitis",life-threatening,rapid,0.88,0.10,0.02,0,0,0.98
Fever + neck stiffness + headache,Infection,fever with signs,2,Yes,No,"Meningitis, meningococcal sepsis",emergency,rapid,0.05,0.80,0.14,0.01,0,0.96
Hematemesis (vomiting blood),GI/Abdominal,bleeding,2,Yes,No,"Upper GI bleed, varices",emergency,sudden,0.08,0.78,0.12,0.02,0,0.95
Severe dyspnea at rest,Respiratory,dyspnea,2,Yes,No,"PE, pneumothorax, anaphylaxis, severe asthma, ACS",emergency,sudden,0.10,0.75,0.13,0.02,0,0.94
Fever + altered mental status + tachycardia + tachypnea,Infection,sepsis signs,2,Yes,No,"Sepsis, severe infection",emergency,rapid,0.07,0.80,0.12,0.01,0,0.96
Acute severe abdominal pain + hypotension,GI/Abdominal,abd pain,2,Yes,No,"AAA, ruptured ectopic, perforated viscus, hemorrhage",emergency,sudden,0.10,0.75,0.13,0.02,0,0.94
Chest pain + radiation to arm/jaw/back,Cardiovascular,chest pain,2,Yes,No,"ACS, aortic dissection",emergency,sudden,0.08,0.78,0.12,0.02,0,0.95
GCS 9-13,Neurological,consciousness,2,Yes,No,"Moderate head injury, altered mental status",emergency,varied,0.05,0.80,0.13,0.02,0,0.94
New severe headache (age >50),Neurological,headache,2,Yes,No,"Temporal arteritis, malignancy, hypertensive emergency, intracranial pathology",emergency,sudden,0.08,0.75,0.15,0.02,0,0.93
Syncope (general),Cardiovascular,syncope,2,Yes,No,"Arrhythmia, structural heart disease, stroke",emergency,sudden,0.06,0.78,0.14,0.02,0,0.94
Palpitations + chest pain + dyspnea,Cardiovascular,palpitations,2,Yes,No,"Arrhythmia with hemodynamic instability",emergency,sudden,0.08,0.75,0.15,0.02,0,0.93
Abdominal pain radiating to back,GI/Abdominal,abd pain,2,Yes,No,"AAA, pancreatitis, kidney stone",emergency,sudden,0.10,0.73,0.15,0.02,0,0.93
Severe localized abdominal pain (RUQ/RLQ/epigastrium),GI/Abdominal,abd pain,2,Yes,No,"Appendicitis, cholecystitis, acute MI, ectopic",emergency,acute,0.08,0.76,0.14,0.02,0,0.94
Unequal pupils,Neurological,pupils,1,Yes,No,"Intracranial emergency, epidural hematoma, increased ICP",life-threatening,sudden,0.85,0.12,0.03,0,0,0.97
Facial droop (acute),Neurological,facial,2,Yes,No,"Acute stroke",emergency,sudden,0.05,0.82,0.12,0.01,0,0.96
Arm weakness (acute asymmetric),Neurological,weakness,2,Yes,No,"Acute stroke, spinal cord compression",emergency,sudden,0.06,0.80,0.13,0.01,0,0.96
Speech difficulty (acute),Neurological,speech,2,Yes,No,"Acute stroke, intracranial pathology",emergency,sudden,0.05,0.82,0.12,0.01,0,0.96
Vision loss (acute),Neurological,vision,2,Yes,No,"Retinal artery occlusion, stroke, retinal emergency",emergency,sudden,0.06,0.78,0.14,0.02,0,0.94
Severe headache + neck stiffness + fever,Neurological,headache with signs,2,Yes,No,"Meningitis, intracranial infection",emergency,acute,0.08,0.78,0.12,0.02,0,0.95
Severe pain radiating (any location),Neurological,pain radiating,2,Yes,No,"Organ-specific emergency",emergency,acute,0.06,0.76,0.16,0.02,0,0.93
Acute severe abd pain (worst ever),GI/Abdominal,abd pain,2,Yes,No,"AAA, appendicitis, perforated viscus, ectopic rupture",emergency,sudden,0.12,0.74,0.12,0.02,0,0.93
Drowning/near drowning (any),Respiratory,aspiration,1,Yes,No,"Aspiration, pulmonary edema, respiratory failure",critical,sudden,0.92,0.07,0.01,0,0,0.98
Choking/airway obstruction,Respiratory,airway,1,Yes,No,"Complete airway obstruction, death",life-threatening,sudden,0.90,0.08,0.02,0,0,0.98
Open penetrating wound (head/neck/trunk),Trauma,wound,1,Yes,No,"Vital organ injury, hemorrhage",critical,sudden,0.88,0.10,0.02,0,0,0.97
Clear fluid from nose/ear,Trauma,CSF,2,Yes,No,"Basilar skull fracture, intracranial injury",emergency,acute,0.08,0.77,0.13,0.02,0,0.94
Fever alone in well-appearing patient,Infection,fever,4,No,Yes,"Viral URI, benign infection",mild,gradual,0.01,0.02,0.15,0.45,0.37,0.80
Cough + sore throat (mild),Respiratory,cough,5,No,Yes,"URI, pharyngitis",minimal,gradual,0,0.01,0.08,0.25,0.66,0.85
Minor laceration/abrasion,Trauma,wound,4,No,Yes,"Minor injury, no serious pathology",minimal,acute,0,0,0.02,0.45,0.53,0.88
Chronic stable back pain,GI/Abdominal,pain,4,No,Yes,"Musculoskeletal pain",mild,chronic,0,0,0.05,0.50,0.45,0.85
Mild dizziness (isolated, no neuro signs),Neurological,dizziness,4,No,Yes,"Benign, deconditioning",mild,gradual,0,0,0.10,0.55,0.35,0.82
Moderate dyspnea on exertion,Respiratory,dyspnea,3,No,Yes,"Asthma, deconditioning, mild CHF",moderate,gradual,0,0.05,0.45,0.35,0.15,0.85
Moderate abdominal pain (stable vitals),GI/Abdominal,abd pain,3,No,Yes,"Gastroenteritis, mild inflammation",moderate,acute,0,0.08,0.52,0.30,0.10,0.82
Fever + cough + mild dyspnea,Respiratory,fever with cough,3,No,No,"Pneumonia, bronchitis",moderate,acute,0.02,0.18,0.52,0.22,0.06,0.85
New onset headache (no red flags),Neurological,headache,3,No,No,"Tension headache, migraine, viral",moderate,acute,0,0.10,0.55,0.30,0.05,0.80
